,Flow,TP,TKN,chla
2018-05-01,585848748.2976,0.112,1.335,0.012
2018-05-02,582168014.5536001,0.11,1.386,0.01176402591989785
2018-05-03,577832607.8784,0.682,2.438,0.011591154374543286
2018-05-04,573786943.6896,0.5703333333333334,2.1069999999999998,0.011481385363936326
2018-05-05,570188424.6432,0.384,1.776,0.011434718888076956
2018-05-06,567037050.7392,0.382,1.473,0.011451154946965185
2018-05-07,564332821.9776,0.252,1.2266666666666668,0.011530693540601005
2018-05-08,562075738.3584001,0.347,2.026,0.011673334668984424
2018-05-09,560265799.9679999,0.296,1.507,0.011879078332115435
2018-05-10,558903006.6336,0.263,1.299,0.012147924529994043
2018-05-11,557987358.4416,0.238,1.41,0.012479873262620246
2018-05-12,557518855.3920001,0.209,1.228,0.012874924529994043
2018-05-13,557497497.4848001,0.248,1.292,0.013333078332115436
2018-05-14,557923284.72,0.26275000000000004,1.355,0.013854334668984421
2018-05-15,558796217.0976,0.379,1.860666666666667,0.014438693540601009
2018-05-16,560116294.7039999,0.2973333333333333,1.561,0.015086154946965184
2018-05-17,561592264.7808,0.2643333333333333,1.348,0.015796718888076957
2018-05-18,562932875.0016,0.2755,1.3239999999999998,0.016570385363936325
2018-05-19,564138125.1936,0.217,1.121,0.01740715437454329
2018-05-20,565208015.4432,0.248,1.218,0.018307025919897846
2018-05-21,566142545.7504,0.24033333333333332,1.2389999999999999,0.01927
2018-05-22,566941716.1152,0.212,1.2253333333333334,0.02029607661484975
2018-05-23,567605526.5375999,0.175,0.997,0.021385255764447095
2018-05-24,568133977.0175999,0.176,1.063,0.02253753744879203
2018-05-25,568527067.5552,0.23900000000000002,1.2663333333333335,0.023752921667884567
2018-05-26,568784798.1504,0.174,1.004,0.025031408421724695
2018-05-27,568907168.7168,0.168,1.126,0.02637299771031242
2018-05-28,568894179.3408,0.16633333333333333,1.1373333333333333,0.027777689533647735
2018-05-29,568745830.1088,0.173,1.453,0.029245483891730654
2018-05-30,568462120.848,0.197,1.406,0.030776380784561165
2018-05-31,568060115.904,0.175,1.281,0.03237038021213927
2018-06-01,567642201.0048,0.151,1.251,0.03402748217446497
2018-06-02,567225440.3232001,0.1645,1.2149999999999999,0.035614460464485465
2018-06-03,566809833.9456,0.154,1.1005,0.03699808887514795
2018-06-04,566395381.7856001,0.15533333333333332,1.1836666666666666,0.03817836740645243
2018-06-05,565982083.9296,0.161,1.021,0.0391552960583989
2018-06-06,565569940.3776001,0.196,1.226,0.03992887483098735
2018-06-07,565158951.0432,0.178,1.121,0.040499103724217826
2018-06-08,564749115.9264,0.194,1.052,0.04086598273809026
2018-06-09,564340435.1136,0.167,1.074,0.04102951187260472
2018-06-10,563932908.6048,0.1905,1.1325,0.04098969112776116
2018-06-11,563526536.3136,0.29125,2.10575,0.040746520503559584
2018-06-12,563121318.3263999,0.3539999999999999,2.0500000000000003,0.040299999999999996
2018-06-13,562717254.6432,0.3586666666666667,1.6936666666666664,0.03965012961708242
2018-06-14,562316384.6496,0.27449999999999997,1.7894999999999999,0.03879690935480682
2018-06-15,561930945.2639999,0.229,1.493,0.03774033921317323
2018-06-16,561562975.9584,0.226,1.569,0.036480419192181625
2018-06-17,561212476.8191999,0.21,1.625,0.03501714929183201
2018-06-18,560879447.76,0.20099999999999998,1.3583333333333334,0.03335052951212438
2018-06-19,560563888.7808001,0.211,1.501,0.03156848651322357
2018-06-20,560265799.9679999,0.226,1.588,0.030198580256118428
2018-06-21,559985181.1488,0.217,1.556,0.029328737400973765
2018-06-22,559722032.496,0.236,1.697,0.028958957947789597
2018-06-23,559476353.9232,0.4423333333333333,2.017,0.029089241896565914
2018-06-24,559248145.5168,0.532,1.9773333333333334,0.029719589247302714
2018-06-25,559037407.104,0.4286666666666667,1.8266666666666669,0.030850000000000002
2018-06-26,558844138.8576001,0.43,1.456,0.03248047415465778
2018-06-27,558668340.6912,0.3,1.022,0.03461101171127604
2018-06-28,558510012.6912,0.62,1.547,0.0372416126698548
2018-06-29,558369154.6848,0.235,1.144,0.04023748824419454
2018-06-30,558245766.8448,0.233,1.096,0.042789905717098405
2018-07-01,558128249.4528,0.219,1.072,0.04476407630236689
2018-07-02,557947004.3712,0.209,1.0253333333333332,0.04616
2018-07-03,557690432.1408,0.209,1.561,0.04697767680999773
2018-07-04,557358532.6752,0.2,1.476,0.04721710673236009
2018-07-05,556951305.888,0.231,2.094,0.04687828976708708
2018-07-06,556468751.952,0.191,1.854,0.045955704423777846
2018-07-07,555910870.6944,0.207,1.739,0.04441622176002733
2018-07-08,555277662.2016,0.174,1.562,0.04225432028543472
2018-07-09,554569126.4736,0.15566666666666665,1.3110000000000002,0.03947
2018-07-10,553785263.5104,0.157,1.114,0.036063260903723166
2018-07-11,552926073.312,0.158,1.269,0.032034102996604204
2018-07-12,551991555.792,0.143,1.342,0.027382526278643137
2018-07-13,550981711.1232,0.135,1.559,0.02236950970293429
2018-07-14,549896539.1328,0.113,1.425,0.018560926988043656
2018-07-15,548736039.9072,0.106,1.335,0.01621775708706556
2018-07-16,547500213.4464,0.13,1.518,0.01534
2018-07-17,546189059.7504,0.175,1.862,0.015927655726846984
2018-07-18,544802578.8191999,0.184,2.111,0.017980724267606506
2018-07-19,543372982.4736,0.219,2.281,0.021499205622278562
2018-07-20,542093541.984,0.209,2.344,0.026160298583106183
2018-07-21,540996469.0848,0.216,1.869,0.030027195903547448
2018-07-22,540081763.9488001,0.212,2.219,0.03277709637584539
2018-07-23,539349426.4896,0.18933333333333333,2.171666666666667,0.034409999999999996
2018-07-24,538799456.6208,0.197,1.809,0.034925906776011276
2018-07-25,538431854.5152,0.27,1.795,0.03432481670387921
2018-07-26,538246620.0,0.191,1.44,0.03260672978360384
2018-07-27,538243753.2479999,0.187,1.314,0.029983800839244932
2018-07-28,538423254.0864,0.183,1.419,0.02772895881516142
2018-07-29,538785122.688,0.226,1.44,0.02605435853541311
2018-07-30,539329358.88,0.19433333333333333,1.4793333333333332,0.024960000000000003
2018-07-31,540055962.8352001,0.345,2.449,0.024445883208922093
2018-08-01,540964934.3808,0.249,1.646,0.024512008162179386
2018-08-02,542056273.6032001,0.243,1.614,0.025158374859771886
2018-08-03,543191837.2703999,0.274,1.832,0.026294651483465017
2018-08-04,544233481.9776,0.223,1.54,0.02737884712385136
2018-08-05,545181207.8976,0.165,1.418,0.028320629962696364
2018-08-06,546035014.7712,0.16266666666666665,1.298,0.02912
2018-08-07,546794902.8576,0.193,1.236,0.0297769572357623
2018-08-08,547460871.9840001,0.166,1.334,0.030291501669983224
2018-08-09,548032922.2368001,0.18,1.425,0.03066363330266281
2018-08-10,548511053.5295999,0.2,1.5,0.03095155556608742
2018-08-11,548895265.9488,0.163,1.244,0.031504489053975286
2018-08-12,549185559.4944,0.163,1.469,0.032380637198612824
2018-08-13,549381934.0799999,0.15849999999999997,1.3584999999999998,0.03358
2018-08-14,549484389.8784,0.15419077364508949,1.1985043555853998,0.03510257745813682
2018-08-15,549492926.6304001,0.15262004609871782,1.0664965381517129,0.03694836957302329
2018-08-16,549407544.5952,0.15378781736088504,0.9624765476989396,0.03911737634465942
2018-08-17,549315985.5648,0.1576940874315911,0.8864443842270797,0.04154132124245946
2018-08-18,549305991.6768,0.1661698465733483,0.8586691727268351,0.0438105450829091
2018-08-19,549377562.7584,0.18104608504866887,0.8994200381889069,0.045856771335422625
2018-08-20,549530698.896,0.20232280285755275,1.0086969806132953,0.04768
2018-08-21,549765400.176,0.22999999999999998,1.1865,0.04928023107664124
2018-08-22,550081666.4255999,0.26566666666666666,1.3790000000000002,0.05065746456534636
2018-08-23,550479497.7312,0.311,1.29,0.051811700466115364
2018-08-24,550958894.1791999,0.323,1.095,0.052779904734257824
2018-08-25,551519855.5968,0.317,1.143,0.05378387310163127
2018-08-26,552162382.0704,0.335,1.041,0.05486057152354533
2018-08-27,552886473.6,0.3413333333333333,1.0926666666666665,0.05601
