,Flow,TP,TKN,chla
2018-05-01,635582956.6944,0.055,0.773,0.012
2018-05-02,636278405.4144,0.049,0.699,0.010221981885320097
2018-05-03,636968720.0735999,0.14500000000000002,0.667,0.008611597256395967
2018-05-04,637653900.672,0.089,0.5045,0.007168846113227622
2018-05-05,638333947.2096,0.064,0.705,0.005893728455815055
2018-05-06,639008859.7728,0.04933333333333333,0.6756666666666667,0.004786244284158266
2018-05-07,639678638.1888,0.052,0.66,0.003846393598257259
2018-05-08,640343282.6304001,0.055,0.765,0.00307417639811203
2018-05-09,641002792.9248,0.056,0.786,0.0024695926837225808
2018-05-10,641657169.2448,0.058,0.905,0.0020326424550889117
2018-05-11,642306411.504,0.06,0.799,0.0017633257122110218
2018-05-12,642950519.6159999,0.055999999999999994,0.7575000000000001,0.001661642455088911
2018-05-13,643589493.7536,0.6025,2.2335000000000003,0.0017275926837225831
2018-05-14,644223333.8304,0.18866666666666668,1.0003333333333333,0.0019611763981120297
2018-05-15,644852039.8464,0.137,0.931,0.002362393598257259
2018-05-16,645475611.8879999,0.128,0.777,0.0029312442841582663
2018-05-17,646094049.7824,0.101,0.78,0.0036677284558150535
2018-05-18,646707353.6159999,0.087,0.725,0.00457184611322762
2018-05-19,647315523.4752,0.087,0.78,0.005643597256395967
2018-05-20,647918559.1872,0.31033333333333335,0.5106666666666667,0.006882981885320094
2018-05-21,648516460.9248,0.126,0.668,0.008289999999999999
2018-05-22,649109228.6015999,0.591,1.5354999999999999,0.009864651600435684
2018-05-23,649696862.1312,0.384,1.3895,0.01160693668662715
2018-05-24,650245710.8736,0.14,0.597,0.013516855258574394
2018-05-25,650722123.9296,0.111,0.645,0.015594407316277424
2018-05-26,651126101.2128,0.105,0.66,0.01783959285973622
2018-05-27,651457642.8096,0.107,0.669,0.02025241188895081
2018-05-28,651716748.72,0.09266666666666667,0.7603333333333334,0.02283286440392117
2018-05-29,651903418.944,0.084,0.689,0.025580950404647314
2018-05-30,652017653.3952,0.091,0.642,0.028496669891129242
2018-05-31,652059452.16,0.118,0.7055,0.03158002286336694
2018-06-01,652028815.2384,0.12133333333333333,0.7220000000000001,0.034831009321360414
2018-06-02,651925742.6304,0.094,0.717,0.03791751628643886
2018-06-03,651750234.336,0.208,1.0873333333333333,0.040507430779931415
2018-06-04,651502290.2688,0.219,1.2543333333333333,0.042600752801838095
2018-06-05,651181910.5152,0.091,0.809,0.044197482352158896
2018-06-06,650789095.0752,0.086,0.725,0.04529761943089382
2018-06-07,650323843.9488,0.086,0.759,0.045901164038042876
2018-06-08,649786157.136,0.08,0.773,0.04600811617360604
2018-06-09,649176034.5504,0.094,0.764,0.045618475837583355
2018-06-10,648493476.2784,0.22366666666666668,1.0746666666666667,0.04473224302997478
2018-06-11,647738482.32,0.4753333333333334,1.5456666666666667,0.043349417750780335
2018-06-12,646911052.6752,0.16649999999999998,0.7755,0.04147
2018-06-13,646011187.344,0.116,0.674,0.03909398977763379
2018-06-14,645038886.24,0.116,0.661,0.036221387083681715
2018-06-15,643994149.4496,0.118,0.704,0.03285219191814376
2018-06-16,642876976.9727999,0.111,0.703,0.028986404281019933
2018-06-17,641687368.8095999,0.08900000000000001,0.6646666666666666,0.02462402417231022
2018-06-18,640425324.8736,0.091,0.665,0.019765051592014637
2018-06-19,639090845.3376,0.35400000000000004,1.521,0.014601157224597427
2018-06-20,637683930.0288,0.13933333333333334,0.7686666666666667,0.01028236517684413
2018-06-21,636204579.0336,0.094,0.712,0.007000346133218986
2018-06-22,634652792.2656,0.091,0.724,0.0047551000937220015
2018-06-23,633028569.8975999,0.117,0.777,0.0035466270583531766
2018-06-24,631346435.2512,0.143,0.8016666666666666,0.003374927027112509
2018-06-25,629693529.2064,0.088,0.709,0.004240000000000001
2018-06-26,628084375.1711999,0.082,0.479,0.006141845977015653
2018-06-27,626518973.1456,0.122,0.793,0.00908046495815946
2018-06-28,624997323.3024,0.20733333333333334,1.0343333333333333,0.01305585694343143
2018-06-29,623519425.3823999,0.119,0.72,0.017807916730264186
2018-06-30,622085279.5584,0.094,0.778,0.021776013103253555
2018-07-01,620694885.8304,0.12200000000000001,1.0530000000000002,0.024700040859832153
2018-07-02,619348244.112,0.177,1.166,0.02658
2018-07-03,618045354.4032,0.14550000000000002,0.40800000000000003,0.027415890523757078
2018-07-04,616786216.7904,0.2876666666666667,1.4556666666666667,0.027207712431103395
2018-07-05,615570831.1872001,0.334,1.6863333333333335,0.025955465722038953
2018-07-06,614399197.6800001,0.7266666666666667,2.896333333333333,0.023818828096121427
2018-07-07,613271316.2688,0.187,1.052,0.021755865750696917
2018-07-08,612187186.7808,0.15350000000000003,0.802,0.01992625638532311
2018-07-09,611146809.4752,0.1558685498851658,0.8098180236033992,0.01833
2018-07-10,610150184.0927999,0.123,0.761,0.016967096594727588
2018-07-11,609197310.8064,0.11,0.727,0.015837546169505872
2018-07-12,608288189.616,0.095,0.701,0.014941348724334854
2018-07-13,607422820.4352,0.079,0.717,0.01431340040729295
2018-07-14,606601203.3504,0.074,0.691,0.01416307810685063
2018-07-15,605823338.2752,0.073,0.682,0.014525277971086315
2018-07-16,605089225.2096,0.096,0.76175,0.0154
2018-07-17,604398864.24,0.15366666666666665,0.89,0.01678724419359169
2018-07-18,603752255.28,0.076,0.782,0.018687010551861373
2018-07-19,603149398.416,0.064,0.782,0.021099299074809064
2018-07-20,602590293.6479999,0.064,0.774,0.023889749051957617
2018-07-21,602074940.8032,0.073,0.803,0.02625219622044419
2018-07-22,601603340.1408,0.071,0.785,0.02805227986979165
2018-07-23,601175491.4016,0.07533333333333334,0.7496666666666667,0.02929
2018-07-24,600791394.8448,0.104,0.897,0.029965356611069232
2018-07-25,600451050.2112,0.092,0.85,0.030078349702999354
2018-07-26,600154457.6736001,0.088,0.82,0.029628979275790363
2018-07-27,599901617.232,0.3073333333333333,1.4313333333333331,0.028684023648308313
2018-07-28,599692528.8,0.109,0.793,0.027644152733749535
2018-07-29,599527192.464,0.107,0.756,0.026576144850980102
2018-07-30,599405608.1376,0.09800000000000002,0.8226666666666667,0.025480000000000003
2018-07-31,599327775.8208,0.096,0.783,0.024355718180809227
2018-08-01,599293695.6,0.098,0.737,0.023203299393407793
2018-08-02,599303367.3888,0.094,0.738,0.022022743637795696
2018-08-03,599356791.2736,0.092,0.771,0.020836721303090472
2018-08-04,599453967.168,0.089,0.79,0.01978125472399734
2018-08-05,599594895.1583999,0.11966666666666669,0.8716666666666667,0.01887901428963385
2018-08-06,599779575.1583999,0.077,0.733,0.01813
2018-08-07,600008007.2544,0.41333333333333333,1.7376666666666667,0.017534211855095783
2018-08-08,600280191.36,0.097,0.73,0.017091649854921204
2018-08-09,600584560.5888,0.096,0.872,0.01680231399947626
2018-08-10,600851713.3632001,0.084,0.76,0.016700342410699884
2018-08-11,601070082.7104,0.097,0.753,0.01699056382022558
2018-08-12,601239668.6304,0.052,0.688,0.017707116349992287
2018-08-13,601360471.1232,0.08299999999999999,0.72,0.018850000000000002
2018-08-14,601432490.1888,0.11023635511274535,0.7478762318996953,0.020419214770248724
2018-08-15,601455725.9136,0.11555071699597745,0.7482772553488881,0.022414760660738445
2018-08-16,601430178.1248,0.09894308564969627,0.7212030703475781,0.024836637671469177
2018-08-17,601355846.9952,0.07812587971459371,0.6794170919356953,0.027584693620465357
2018-08-18,601232732.4384,0.07081151783136164,0.6356827351531693,0.030058015415873666
2018-08-19,601060834.4544,0.077,0.59,0.03215645087571855
2018-08-20,600840153.0431999,0.115,0.612,0.03388
2018-08-21,600570688.2048,0.241,1.038,0.03522866278871803
2018-08-22,600252439.9392,0.1925,1.2890000000000001,0.03620243924187263
2018-08-23,599885408.3328,0.15949999999999998,0.6515,0.03680132935946379
2018-08-24,599469593.2127999,0.151,0.715,0.03709782239712023
2018-08-25,599004994.752,0.14,0.7,0.03752685388861405
2018-08-26,598491612.8640001,0.31,1.0679999999999998,0.03816091308957398
2018-08-27,597929447.5488,0.21,0.465,0.039
2018-08-28,597318498.8064001,0.124,0.657,0.0400441146198921
2018-08-29,596658766.6367999,0.261,1.09,0.0412932569492503
2018-08-30,595950251.04,0.20466666666666666,0.7683333333333332,0.04274742698807459
2018-08-31,595192952.1024001,0.112,0.613,0.044406624736364975
2018-09-01,594386869.7376,0.12,0.647,0.04551436939260972
2018-09-02,593532003.8592,0.105,0.603,0.04531418015529715
2018-09-03,592628354.64,0.18033333333333332,0.8069999999999999,0.04380605702442724
2018-09-04,591675921.9936,0.183,0.852,0.040990000000000006
2018-09-05,590674705.9200001,0.141,0.764,0.036866009082015434
2018-09-06,589624706.5056001,0.307,1.039,0.03143408427047352
2018-09-07,588525923.5776,0.158,0.665,0.024694225565374282
2018-09-08,587378357.3088001,0.179,0.721,0.017046525786933952
2018-09-09,586182007.5264,0.297,0.9663333333333334,0.010891541856450002
2018-09-10,584936874.4032,0.577,2.083,0.006629366594138686
2018-09-11,583642957.8528,0.30500000000000005,1.1715,0.00426
2018-09-12,582300257.8751999,0.258,0.894,0.0037834420740339427
2018-09-13,580908774.4704,0.214,0.842,0.005199692816240513
2018-09-14,579468507.7248,0.179,0.886,0.008508752226619712
2018-09-15,577979457.4656,0.148,0.862,0.01242920003108342
2018-09-16,576441623.8656,0.125,0.8373333333333334,0.015679615955543524
2018-09-17,574855006.8384,0.113,0.762,0.018260000000000002
2018-09-18,573219606.2976,0.101,0.723,0.020170352164452877
2018-09-19,571535422.416,0.116,0.755,0.021410672448902133
2018-09-20,569802455.1936,0.101,0.737,0.02198096085334779
2018-09-21,568020704.4576,0.08322388686490902,0.712747463512497,0.02188121737778982
2018-09-22,566190170.2944,0.06916663272047258,0.6933999797770399,0.021423821730008133
2018-09-23,564310852.7904,0.05882823756669074,0.6789575487936291,0.0209211536177826
2018-09-24,562564389.2832,0.05220870140356344,0.6694201705622644,0.02037321304111322
2018-09-25,561132417.456,0.04930802423109071,0.6647878450829455,0.019780000000000002
2018-09-26,560014937.1359999,0.05012620604927252,0.665060572355673,0.019141514494442943
2018-09-27,559211948.4096,0.0546632468581089,0.6702383523804463,0.01845775652444204
2018-09-28,558723451.2767999,0.06291914665759983,0.6803211851572655,0.017728726089997295
2018-09-29,558549445.6511999,0.07489390544774534,0.6953090706861311,0.016954423191108705
2018-09-30,558689931.7056,0.09058752322854538,0.7152020089670424,0.016134847827776272
2018-10-01,559144909.2672,0.11,0.74,0.01527
