,Sandusky,Portage,Maumee,Huron,Welland,Detroit,Nigara
2018/1/1,474,46.8,825,60.1,172,6400,8969.28578
2018/1/2,418,46.7,1100,59.1,190,6385.91939,8959.358761
2018/1/3,391,46.6,1200,56.3,129,6372.538166,8947.668019
2018/1/4,379,46.3,951,54,129,6359.856327,8934.213553
2018/1/5,383,46.1,1050,53.1,132,6347.873875,8918.995364
2018/1/6,407,45.9,920,53,132,6336.590808,8902.013452
2018/1/7,405,45.6,890,53,136,6326.007128,8883.267816
2018/1/8,329,45.7,877,51.4,142,6316.122833,8862.758457
2018/1/9,325,45.4,876,49.3,138,6306.937924,8840.485375
2018/1/10,377,53.9,894,56.3,140,6298.452401,8816.448569
2018/1/11,764,350,1690,1190,136,6290.666264,8790.64804
2018/1/12,6150,3590,6260,5020,123,6283.579513,8763.083787
2018/1/13,10300,4330,15300,2830,142,6277.192148,8733.755811
2018/1/14,7300,2820,16400,870,140,6271.504168,8702.664112
2018/1/15,4640,1650,11600,560,145,6266.515575,8669.808689
2018/1/16,2510,938,7890,454,141,6262.226367,8635.189543
2018/1/17,1110,594,5280,387,145,6258.636545,8598.806674
2018/1/18,755,497,3610,346,143,6255.746109,8560.660081
2018/1/19,737,439,3180,318,150,6253.555059,8520.749765
2018/1/20,749,389,2990,292,146,6252.063395,8479.075725
2018/1/21,768,366,3000,315,150,6251.271117,8435.944326
2018/1/22,1510,945,3240,2200,144,6251.178225,8393.193745
2018/1/23,6500,2930,5930,3210,135,6251.784718,8351.130348
2018/1/24,7640,2560,11500,1290,144,6253.090598,8309.754133
2018/1/25,5310,1110,13000,554,146,6255.095863,8269.0651
2018/1/26,3160,631,10900,379,147,6257.800514,8229.063251
2018/1/27,1920,537,8720,350,148,6261.204551,8189.748584
2018/1/28,2060,603,7340,536,147,6265.307974,8151.121099
2018/1/29,2370,624,6550,405,149,6270.110783,8113.180797
2018/1/30,1980,495,5820,296,148,6275.612978,8075.927678
2018/1/31,1410,387,4440,216,146,6281.814559,8039.361742
2018/2/1,1090,347,3460,171,151,6288.715525,8003.482988
2018/2/2,813,293,3250,145,143,6296.315878,7968.291417
2018/2/3,601,283,2190,129,151,6304.615616,7933.787028
2018/2/4,509,276,2000,121,149,6313.61474,7899.969823
2018/2/5,446,179,1840,113,148,6323.313251,7866.839799
2018/2/6,406,117,1710,106,143,6333.711147,7834.396959
2018/2/7,368,86.2,1800,100,144,6344.808429,7802.641301
2018/2/8,330,70.4,1590,95.4,144,6356.605096,7771.572826
2018/2/9,305,62.3,1570,90.8,145,6369.10115,7741.191533
2018/2/10,293,60.1,1520,87.4,143,6382.29659,7711.497423
2018/2/11,279,60.1,1480,84.4,144,6396.191415,7682.490496
2018/2/12,264,60.1,1430,82.3,138,6410.785626,7654.170751
2018/2/13,258,60.5,1430,89.6,143,6426.079224,7626.538189
2018/2/14,299,64,1380,138,142,6442.072207,7599.59281
2018/2/15,695,203,1550,1180,139,6458.764576,7573.334613
2018/2/16,7950,2630,7260,5130,132,6476.156331,7547.763599
2018/2/17,9010,3340,19400,1610,139,6494.247471,7522.879767
2018/2/18,7260,1440,17100,738,142,6513.037998,7498.683119
2018/2/19,6860,1270,15800,2760,141,6532.527911,7475.173652
2018/2/20,11500,5100,37100,4200,118,6552.717209,7452.351369
2018/2/21,9280,6360,50500,1710,137,6573.605894,7430.216268
2018/2/22,9210,5380,54400,2400,138,6595.193964,7408.76835
2018/2/23,8380,3370,48400,1840,142,6617.48142,7388.007614
2018/2/24,7060,2280,43000,1340,141,6640.468262,7367.934061
2018/2/25,9200,3170,41200,3400,138,6664.15449,7348.547691
2018/2/26,9220,3240,40100,1410,142,6688.540104,7329.848504
2018/2/27,7960,1530,33600,709,146,6713.625103,7311.836499
2018/2/28,5780,893,26400,537,141,6739.409489,7294.511676
2018/3/1,3600,1150,22600,2320,145,6765.89326,7277.874037
2018/3/2,9190,5300,39000,5620,139,6793.076418,7261.92358
2018/3/3,9290,5500,41300,2460,145,6820.958961,7246.660305
2018/3/4,7250,2340,33100,1350,141,6849.54089,7232.084214
2018/3/5,4460,1200,23900,897,144,6878.822205,7218.195305
2018/3/6,2360,814,17700,670,144,6908.802906,7204.993578
2018/3/7,1710,646,13600,560,144,6939.482993,7192.479034
2018/3/8,1330,535,11200,463,140,6966.619973,7180.651673
2018/3/9,1050,428,8560,397,141,6985.971353,7169.511495
2018/3/10,859,349,6870,342,148,6997.537134,7159.058499
2018/3/11,729,290,5340,303,144,7001.317315,7149.292686
2018/3/12,656,254,4630,279,150,6997.311897,7140.214055
2018/3/13,593,237,3860,253,156,6985.520879,7131.822607
2018/3/14,544,220,3360,251,159,6965.944262,7124.118342
2018/3/15,504,210,3110,253,153,6938.582045,7117.10126
2018/3/16,460,190,2800,224,155,6903.434228,7110.77136
2018/3/17,421,168,2590,209,157,6860.500812,7105.128642
2018/3/18,398,155,2290,199,162,6809.781796,7100.173108
2018/3/19,387,146,1900,192,154,6751.277181,7095.904756
2018/3/20,362,157,2110,186,162,6684.986966,7092.323586
2018/3/21,338,136,2240,190,147,6610.911152,7089.4296
2018/3/22,336,129,2160,185,156,6530.731586,7087.222796
2018/3/23,336,115,2080,190,180,6454.539357,7085.703174
2018/3/24,335,104,1760,212,161,6384.016312,7084.870736
2018/3/25,340,97.5,1690,214,159,6319.162453,7084.725479
2018/3/26,374,94.3,1820,206,154,6259.977778,7085.267406
2018/3/27,408,101,2290,249,159,6206.462289,7086.496515
2018/3/28,442,131,3430,441,157,6158.615984,7088.412807
2018/3/29,768,390,7510,834,160,6116.438864,7091.016282
2018/3/30,6150,2780,22400,3600,159,6079.930929,7094.306939
2018/3/31,6720,2890,29200,1090,172,6049.092178,7098.284779
2018/4/1,5250,1310,24400,568,168,6023.922613,7102.949801
2018/4/2,3030,747,17500,430,173,6004.422232,7108.302006
2018/4/3,2000,547,12300,1060,163,5990.591037,7114.341394
2018/4/4,7500,1790,20500,4270,156,5982.429026,7121.067964
2018/4/5,8750,1730,27100,1290,171,5979.9604,7128.481717
2018/4/6,9430,891,26000,636,158,5983.330363,7136.582653
2018/4/7,6820,626,21100,453,162,5992.563116,7145.370771
2018/4/8,2580,467,15500,354,157,6007.658657,7154.752747
2018/4/9,1480,374,13300,300,163,6028.616988,7164.168626
2018/4/10,1080,310,11000,265,168,6055.438108,7173.525083
2018/4/11,858,266,7980,243,166,6088.122017,7182.822118
2018/4/12,738,250,5750,234,161,6126.668716,7192.059732
2018/4/13,653,244,4650,220,163,6171.078203,7201.237923
2018/4/14,652,324,4660,244,167,6221.35048,7210.356692
2018/4/15,2850,2170,11700,1310,151,6277.485546,7219.41604
2018/4/16,8250,5240,26700,3530,71.2,6339.483402,7228.415966
2018/4/17,6250,3380,26200,1010,110,6407.344046,7237.356469
2018/4/18,4060,1410,20400,572,115,6481.06748,7246.237551
2018/4/19,2280,893,16300,430,124,6558.745976,7255.059211
2018/4/20,1450,660,12700,356,135,6628.933176,7263.821449
2018/4/21,1070,523,10500,299,170,6689.721351,7272.524265
2018/4/22,864,435,8290,270,157,6741.110503,7281.167659
2018/4/23,740,379,7380,249,161,6783.100632,7289.751632
2018/4/24,666,343,6550,249,170,6815.691737,7298.276182
2018/4/25,687,321,5800,312,155,6838.883818,7306.74131
2018/4/26,746,314,3740,321,160,6852.676875,7315.147017
2018/4/27,722,285,3160,266,160,6857.070909,7323.493301
2018/4/28,657,283,3530,253,161,6852.065919,7331.780164
2018/4/29,571,266,3540,230,163,6837.661906,7340.007605
2018/4/30,494,235,3190,208,159,6813.858869,7348.175624
2018/5/1,436,216,2700,195,169,6780.656809,7356.284221
2018/5/2,406,220,2560,184,165,6738.055724,7364.333396
2018/5/3,416,801,6340,230,167,6687.877406,7372.323149
2018/5/4,583,1520,12600,355,157,6641.052589,7380.25348
2018/5/5,644,895,14600,251,164,6599.403063,7388.124389
2018/5/6,565,562,11700,217,161,6562.928828,7395.935877
2018/5/7,524,383,9880,232,161,6531.629884,7403.687942
2018/5/8,514,292,9030,198,161,6505.506231,7411.380586
2018/5/9,486,248,7590,177,164,6484.55787,7419.013807
2018/5/10,465,224,6740,199,168,6468.784799,7426.587607
2018/5/11,488,205,5330,202,170,6458.187019,7434.101985
2018/5/12,482,185,4190,179,162,6452.76453,7441.55694
