Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, μmho","Future, NA",Month,,
11/04/1981 13:00,2591.54,1,331,12.3,0.431,0.191,2.82,0.82,95.3,-9,-9,-9,,11,,
11/05/1981 13:00,2592.54,1,353,8.9,0.373,0.136,2.77,1.06,99,-9,-9,-9,,11,,
11/06/1981 13:00,2593.54,1,821,181,0.8,0.047,1.65,1.78,75.6,-9,-9,-9,,11,,
11/07/1981 13:00,2594.54,1,733,36.9,0.34,0.093,1.57,0.91,91.5,-9,-9,-9,,11,,
11/08/1981 13:00,2595.54,1,603,31.3,0.285,0.027,1.57,1.1,89.2,-9,-9,-9,,11,,
11/09/1981 13:00,2596.54,1,530,15.8,0.265,0.083,1.74,1.15,80,-9,-9,-9,,11,,
11/10/1981 13:00,2597.54,0.63,472,10.2,0.301,0.086,2.09,1.32,81.6,-9,-9,-9,,11,,
11/10/1981 19:00,2597.79,1,464,11.3,0.331,0.084,1.95,1.67,84,-9,-9,-9,,11,,
11/18/1981 19:00,2605.79,1,328,8.7,0.319,0.128,2.78,1.59,94.5,-9,-9,-9,,11,,
11/21/1981 13:00,2608.54,1.5,1690,79.8,0.326,0.021,1.42,1.39,96.1,-9,-9,-9,,11,,
11/21/1981 19:00,2608.79,0.63,1680,75.4,0.3,0.011,1.23,1.32,102,-9,-9,-9,,11,,
11/22/1981 19:00,2609.79,0.75,1210,37.1,0.266,0.005,1.16,1.55,119.6,-9,-9,-9,,11,,
11/23/1981 07:00,2610.29,0.38,1090,21.6,0.228,0.005,1.19,1.4,122.5,-9,-9,-9,,11,,
11/23/1981 13:00,2610.54,0.5,1010,37.5,0.267,0.087,2.33,1,92.1,-9,-9,-9,,11,,
11/24/1981 07:00,2611.29,0.88,954,32.8,0.202,0.084,2.32,0.98,95.8,-9,-9,-9,,11,,
11/25/1981 07:00,2612.29,1,944,21.1,0.215,0.106,2.1,1.18,125,-9,-9,-9,,11,,
