Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, μmho","Future, NA",Month,,,,
10/02/1974 09:10,1.38194,1,41,16.5,0.27,0.226,0.16,-9,-9,-9,-9,-9,,10,,,,
10/07/1974 09:40,6.40278,1,51,37.3,0.39,0.025,0,-9,-9,-9,-9,-9,,10,,,,
10/09/1974 09:30,8.39583,1,41,31.5,0.26,0.073,0.01,-9,-9,-9,-9,-9,,10,,,,
12/07/1974 11:00,67.45833,1,340,12,0.217,0.005,3.25,-9,-9,-9,-9,-9,,12,,,,
12/07/1974 17:00,67.70833,0.25,375,10.2,0.147,0.09,4.35,-9,-9,-9,-9,-9,,12,,,,
12/07/1974 23:00,67.95833,0.25,397,58,0.157,0.115,4.2,-9,-9,-9,-9,-9,,12,,,,
12/08/1974 05:00,68.20833,0.25,412,10.9,0.155,0.125,4.35,-9,-9,-9,-9,-9,,12,,,,
12/08/1974 11:00,68.45833,0.25,435,58.9,0.167,0.12,4.15,-9,-9,-9,-9,-9,,12,,,,
12/08/1974 17:00,68.70833,0.25,451,6.8,0.173,0.125,4.05,-9,-9,-9,-9,-9,,12,,,,
12/08/1974 23:00,68.95833,0.25,491,7.8,0.163,0.13,4.2,-9,-9,-9,-9,-9,,12,,,,
12/09/1974 05:00,69.20833,0.25,577,14.1,0.21,0.15,4.25,-9,-9,-9,-9,-9,,12,,,,
12/09/1974 11:00,69.45833,0.25,856,51.1,0.22,0.125,4.6,-9,-9,-9,-9,-9,,12,,,,
12/09/1974 17:00,69.70833,0.25,1190,102,0.3,0.09,5.55,-9,-9,-9,-9,-9,,12,,,,
12/09/1974 23:00,69.95833,0.25,1800,128,0.373,0.095,5.8,-9,-9,-9,-9,-9,,12,,,,
12/10/1974 05:00,70.20833,0.25,2290,-9,0.34,-9,-9,-9,-9,-9,-9,-9,,12,,,,
12/10/1974 11:00,70.45833,0.25,2640,105,0.29,0.075,6.95,-9,-9,-9,-9,-9,,12,,,,
12/10/1974 17:00,70.70833,0.25,2760,-9,0.23,-9,-9,-9,-9,-9,-9,-9,,12,,,,
12/10/1974 23:00,70.95833,0.25,2700,-9,0.24,-9,-9,-9,-9,-9,-9,-9,,12,,,,
12/11/1974 05:00,71.20833,0.25,2450,-9,0.17,-9,-9,-9,-9,-9,-9,-9,,12,,,,
12/11/1974 11:00,71.45833,0.25,2180,-9,0.24,-9,-9,-9,-9,-9,-9,-9,,12,,,,
12/11/1974 17:00,71.70833,0.25,1920,-9,0.18,-9,-9,-9,-9,-9,-9,-9,,12,,,,
12/11/1974 23:00,71.95833,0.25,1640,-9,0.23,-9,-9,-9,-9,-9,-9,-9,,12,,,,
12/12/1974 05:00,72.20833,0.25,1480,33.7,0.183,0.085,8,-9,-9,-9,-9,-9,,12,,,,
12/12/1974 11:00,72.45833,0.25,1340,98.5,0.187,0.08,7.1,-9,-9,-9,-9,-9,,12,,,,
12/12/1974 17:00,72.70833,0.25,1240,58.8,0.19,0.08,7.35,-9,-9,-9,-9,-9,,12,,,,
12/12/1974 23:00,72.95833,0.25,1320,68.5,0.225,0.087,7.05,-9,-9,-9,-9,-9,,12,,,,
12/13/1974 05:00,73.20833,0.25,1550,58.6,0.218,0.09,6.9,-9,-9,-9,-9,-9,,12,,,,
12/13/1974 11:00,73.45833,0.25,1080,68,0.2,0.085,7.05,-9,-9,-9,-9,-9,,12,,,,
12/13/1974 17:00,73.70833,0.25,2190,65.2,0.205,0.08,7.5,-9,-9,-9,-9,-9,,12,,,,
12/13/1974 23:00,73.95833,0.25,2350,63.4,0.207,0.075,6.95,-9,-9,-9,-9,-9,,12,,,,
12/14/1974 05:00,74.20833,0.25,2530,66.5,0.193,-9,7.05,-9,-9,-9,-9,-9,,12,,,,
12/14/1974 11:00,74.45833,0.25,2760,91.5,-9,0.095,7.4,-9,-9,-9,-9,-9,,12,,,,
12/14/1974 17:00,74.70833,0.25,2940,100,-9,0.08,7.3,-9,-9,-9,-9,-9,,12,,,,
12/14/1974 23:00,74.95833,0.25,3080,117,-9,0.075,7.9,-9,-9,-9,-9,-9,,12,,,,
12/15/1974 05:00,75.20833,0.25,3170,105,-9,0.08,8.2,-9,-9,-9,-9,-9,,12,,,,
12/15/1974 11:00,75.45833,0.25,3380,110,-9,0.075,8.3,-9,-9,-9,-9,-9,,12,,,,
12/15/1974 17:00,75.70833,0.25,3670,120,-9,0.07,8.7,-9,-9,-9,-9,-9,,12,,,,
12/15/1974 23:00,75.95833,0.25,3980,139,-9,0.07,8.8,-9,-9,-9,-9,-9,,12,,,,
12/16/1974 05:00,76.20833,0.25,4520,191,-9,0.07,9.1,-9,-9,-9,-9,-9,,12,,,,
12/16/1974 11:00,76.45833,0.25,5420,233,-9,0.06,9.4,-9,-9,-9,-9,-9,,12,,,,
12/16/1974 17:00,76.70833,0.25,6230,338,-9,0.06,9.2,-9,-9,-9,-9,-9,,12,,,,
12/16/1974 23:00,76.95833,0.25,6720,360,-9,0.055,9.1,-9,-9,-9,-9,-9,,12,,,,
12/17/1974 05:00,77.20833,0.25,6830,230,-9,0.05,9,-9,-9,-9,-9,-9,,12,,,,
12/17/1974 11:00,77.45833,0.25,6590,282,-9,0.06,8.8,-9,-9,-9,-9,-9,,12,,,,
12/17/1974 17:00,77.70833,0.25,6190,242,-9,0.06,8.9,-9,-9,-9,-9,-9,,12,,,,
12/17/1974 23:00,77.95833,0.25,5850,303,-9,0.06,9,-9,-9,-9,-9,-9,,12,,,,
12/18/1974 05:00,78.20833,0.25,5550,174,-9,0.065,8.8,-9,-9,-9,-9,-9,,12,,,,
12/18/1974 11:00,78.45833,0.25,5200,126,-9,0.06,8.6,-9,-9,-9,-9,-9,,12,,,,
12/18/1974 17:00,78.70833,0.25,4770,136,-9,0.07,8.7,-9,-9,-9,-9,-9,,12,,,,
12/18/1974 23:00,78.95833,0.38,4320,118,-9,0.07,8.7,-9,-9,-9,-9,-9,,12,,,,
12/19/1974 11:00,79.45833,0.38,3450,70.6,-9,0.06,8.5,-9,-9,-9,-9,-9,,12,,,,
12/19/1974 17:00,79.70833,0.25,3080,90.3,0.228,0.08,7.6,-9,-9,-9,-9,-9,,12,,,,
12/19/1974 23:00,79.95833,0.25,2720,57.2,0.19,0.07,9.1,-9,-9,-9,-9,-9,,12,,,,
12/20/1974 05:00,80.20833,0.25,2410,74.7,0.16,0.08,8.8,-9,-9,-9,-9,-9,,12,,,,
12/20/1974 11:00,80.45833,0.38,2270,49.3,0.118,0.07,9.4,-9,-9,-9,-9,-9,,12,,,,
12/20/1974 23:00,80.95833,0.38,1590,47.9,0.122,0.075,9,-9,-9,-9,-9,-9,,12,,,,
12/21/1974 05:00,81.20833,0.25,1420,32.3,0.125,0.085,8.8,-9,-9,-9,-9,-9,,12,,,,
12/21/1974 11:00,81.45833,0.25,1290,-9,0.14,0.08,4.4,-9,-9,-9,-9,-9,,12,,,,
12/21/1974 17:00,81.70833,0.25,1170,28.9,0.129,0.075,7.8,-9,-9,-9,-9,-9,,12,,,,
12/21/1974 23:00,81.95833,0.25,1100,-9,0.11,0.08,8.4,-9,-9,-9,-9,-9,,12,,,,
12/22/1974 05:00,82.20833,0.25,1010,17.5,0.087,0.08,10,-9,-9,-9,-9,-9,,12,,,,
12/22/1974 11:00,82.45833,0.25,936,28.8,0.084,0.075,6.9,-9,-9,-9,-9,-9,,12,,,,
12/22/1974 17:00,82.70833,0.25,869,36.2,0.076,0.07,6.8,-9,-9,-9,-9,-9,,12,,,,
12/22/1974 23:00,82.95833,0.25,817,28.6,0.08,0.085,6.5,-9,-9,-9,-9,-9,,12,,,,
12/23/1974 05:00,83.20833,0.25,707,25.5,0.1,0.095,6.9,-9,-9,-9,-9,-9,,12,,,,
12/23/1974 11:00,83.45833,0.25,579,22.8,0.084,0.09,7.1,-9,-9,-9,-9,-9,,12,,,,
12/23/1974 17:00,83.70833,0.25,515,30.1,0.11,0.1,7,-9,-9,-9,-9,-9,,12,,,,
12/23/1974 23:00,83.95833,0.25,547,63.3,0.137,0.095,6.5,-9,-9,-9,-9,-9,,12,,,,
12/24/1974 05:00,84.20833,0.25,896,113,0.19,0.09,6.3,-9,-9,-9,-9,-9,,12,,,,
12/24/1974 11:00,84.45833,0.25,1780,138,0.228,0.08,6.1,-9,-9,-9,-9,-9,,12,,,,
12/24/1974 17:00,84.70833,0.25,3650,214,0.369,0.09,6.2,-9,-9,-9,-9,-9,,12,,,,
12/24/1974 23:00,84.95833,0.5,5660,174,0.296,0.08,6.4,-9,-9,-9,-9,-9,,12,,,,
01/03/1975 16:00,94.66667,0.5,2370,108,0.241,0.03,4.3,-9,29,-9,-9,-9,,1,,,,
