Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ¦Ìmho","Future, NA",Month
7/9/2007 12:50,,1.00,27.25,65.151,0.219,0.098,0.34,0.755,33.0,59.0,6.01,691,,7
7/16/2007 12:04,,1.00,20.38,63.700,0.242,0.055,0.17,0.894,35.0,56.9,5.94,705,,7
7/23/2007 12:18,,1.00,20.94,66.000,0.236,0.090,0.29,0.822,35.0,60.5,6.22,640,,7
7/30/2007 12:18,,1.00,49.52,75.896,0.072,0.045,1.43,0.448,34.4,59.6,6.39,633,,7
8/6/2007 12:05,,1.00,31.36,75.959,0.248,0.001,0.39,1.019,38.0,58.3,8.08,661,,8
8/13/2007 12:19,,1.00,100.00,91.836,0.220,0.061,1.55,1.090,26.5,45.3,10.66,579,,8
8/20/2007 12:48,,1.00,742.00,191.030,0.345,0.106,4.48,1.384,28.7,31.1,7.28,479,,8
8/27/2007 10:50,,1.00,1660.00,21.263,0.186,0.100,3.24,1.055,15.6,27.2,10.63,461,,8
9/3/2007 11:40,,1.00,138.40,58.473,0.166,0.058,1.24,0.996,24.2,45.2,11.73,651,,9
9/11/2007 13:30,,1.00,461.20,64.804,0.193,0.099,3.13,1.051,23.6,34.7,9.42,524,,9
9/17/2007 17:50,,1.00,94.50,60.869,0.132,0.037,1.39,0.942,29.4,50.8,10.38,712,,9
9/28/2007 11:45,,1.00,57.60,67.946,0.159,0.058,0.67,0.730,32.1,54.5,6.38,706,,9
10/1/2007 11:00,,1.00,54.98,51.257,0.133,0.036,0.57,0.980,35.2,58.3,7.10,723,,10
10/8/2007 12:00,,1.00,-9.00,61.224,0.167,0.054,0.44,1.053,38.1,51.0,7.43,727,,10
10/15/2007 13:30,,1.00,-9.00,36.844,0.133,0.050,0.46,0.754,37.0,53.1,7.58,746,,10
10/22/2007 12:40,,1.00,86.55,36.210,0.035,0.053,0.49,0.709,35.5,53.5,7.81,742,,10
10/29/2007 11:09,,1.00,117.60,15.601,0.086,0.039,0.56,0.669,37.5,50.3,8.50,732,,10
11/5/2007 11:50,,1.00,107.00,3.786,0.059,0.027,0.42,0.499,34.7,54.5,6.21,751,,11
11/12/2007 11:40,,1.00,117.00,6.407,0.046,0.019,0.44,0.497,34.3,56.9,4.03,753,,11
11/19/2007 11:15,,1.00,134.20,2.390,0.040,0.015,0.47,-0.035,37.8,61.7,3.17,751,,11
11/26/2007 11:05,,1.00,367.00,5.944,0.069,0.027,4.71,0.842,37.3,50.1,8.94,703,,11
12/3/2007 11:30,,1.00,445.50,60.544,0.251,0.089,5.93,1.093,46.7,60.0,8.69,681,,12
12/10/2007 11:45,,1.00,286.20,10.256,0.084,0.034,3.34,0.686,60.8,51.2,8.08,821,,12
12/17/2007 12:37,,1.00,1005.40,14.768,0.136,0.071,5.79,0.960,31.1,43.2,7.20,632,,12
1/7/2008 11:15,,1.00,819.20,54.659,0.206,0.065,4.62,1.149,29.4,41.3,7.46,584,,1
1/14/2008 12:00,,1.00,1880.00,30.937,0.189,0.064,3.32,1.109,19.9,28.7,8.31,460,,1
1/21/2008 13:30,,1.00,298.70,9.000,0.075,0.033,3.18,0.584,31.2,46.9,8.53,667,,1
1/29/2008 12:55,,1.00,216.20,5.081,0.056,0.019,2.32,0.538,30.3,47.0,7.71,698,,1
2/4/2008 11:55,,1.00,289.70,7.805,0.059,0.026,1.98,0.751,25.8,40.1,8.04,617,,2
