Date,Site,Temperature,Light Intensity,chl-a,TP,TKN
5/21/2018,WE2,,,11.05,0.12807,0.40213
5/21/2018,WE4,,,9.33,0.07565,0.31848
5/21/2018,WE6,17.2,113,19.27,0.12002,0.41379
5/21/2018,WE8,,,8.29,0.06047,0.28463
5/21/2018,WE9,17.9,63,13.29,0.18196,0.6062
5/21/2018,WE12,,,19.91,0.10885,0.42766
5/21/2018,WE13,,,12.51,0.05835,0.30589
5/21/2018,WE16,,,25.22,0.05256,0.33622
6/12/2018,WE2,21.3,70,17.35,0.09437,0.31227
6/12/2018,WE4,19.7,698,2.25,0.02857,0.23619
6/12/2018,WE6,21,23,40.3,0.10988,0.43598
6/12/2018,WE8,20.6,33,41.47,0.10793,0.40169
6/12/2018,WE9,22.4,32,92.51,0.17471,0.94876
6/12/2018,WE12,21.1,69,5.83,0.09009,0.35666
6/12/2018,WE13,20.3,295,9.66,0.05746,0.24071
6/12/2018,WE16,20.4,1286,1.75,0.0258,0.15026
6/25/2018,WE2,22.1,153,4.87,0.07749,0.31113
6/25/2018,WE4,21,164,3.46,0.01865,0.09038
6/25/2018,WE6,22.9,15,30.85,0.22305,0.66622
6/25/2018,WE8,22.4,439,4.24,0.05799,0.19865
6/25/2018,WE9,21.8,5,7.71,0.27507,0.99161
6/25/2018,WE12,22.2,56,16.18,0.09366,0.34713
7/2/2018,WE2,23.7,660,15.08,0.03843,0.1719
7/2/2018,WE4,24.4,155,20.86,0.02449,0.27293
7/2/2018,WE6,25.8,134,46.16,0.08,0.43761
7/2/2018,WE8,23.8,127,26.58,0.06776,0.23757
7/2/2018,WE9,25,321,24.31,0.12235,0.24718
7/2/2018,WE12,24.9,397,14.1,0.02561,0.15425
7/2/2018,WE13,25.2,174,15.92,0.02333,0.27199
7/2/2018,WE16,25.3,186,9.11,0.04097,0.23187
7/9/2018,WE2,25.9,1199,12.94,0.04935,0.24214
7/9/2018,WE4,24.1,157,7.62,0.01703,0.16515
7/9/2018,WE6,25.6,572,39.47,0.06478,0.34572
7/9/2018,WE8,25,58,18.33,0.04879,0.27156
7/9/2018,WE9,26.3,402,38.3,0.13252,0.41598
7/9/2018,WE12,25,367,8.68,0.03682,0.16946
7/9/2018,WE13,24.8,161,5.23,0.0267,0.15087
7/9/2018,WE16,24.8,349,4.43,0.01811,0.1164
7/16/2018,WE2,26.7,277,6.93,0.01997,0.17498
7/16/2018,WE4,26.1,171,9.14,0.01992,0.19484
7/16/2018,WE6,27.3,1241,15.34,0.03288,0.30515
7/16/2018,WE8,27,100,15.4,0.03384,0.38263
7/16/2018,WE9,28,825,30.07,0.06296,0.38989
7/16/2018,WE12,26.2,548,4.93,0.01658,0.12532
7/16/2018,WE13,25.9,774,6.22,0.01669,0.14099
7/16/2018,WE16,26.4,297,7.48,0.01744,0.15531
7/23/2018,WE2,24,799,9.36,0.02441,0.1676
7/23/2018,WE4,24.1,177,16.38,0.0332,0.24121
7/23/2018,WE6,23.8,154,34.41,0.0646,0.46373
7/23/2018,WE8,23.8,398,29.29,0.03787,0.27753
7/23/2018,WE9,24.1,469,34.45,0.11008,0.61228
7/23/2018,WE12,24,1319,10.53,0.03276,0.15271
7/23/2018,WE13,24.3,812,8.21,0.01991,0.16208
7/23/2018,WE16,24,1061,9.98,0.01978,0.13961
7/30/2018,WE2,24.4,318,25.61,0.02616,0.32298
7/30/2018,WE4,23.5,268,4.69,0.01031,0.10932
7/30/2018,WE6,24.6,341,24.96,0.03477,0.38374
7/30/2018,WE8,24,146,25.48,0.02791,0.25887
7/30/2018,WE9,24.4,248,38.4,0.05885,0.41496
7/30/2018,WE12,24.2,838,13.13,0.02085,0.20388
7/30/2018,WE13,23.7,220,7.08,0.01112,0.09559
7/30/2018,WE16,24.1,430,10.67,0.01715,0.16677
8/6/2018,WE2,25.5,1377,16.18,0.0233,0.31493
8/6/2018,WE4,24.7,216,10.45,0.01625,0.17403
8/6/2018,WE6,26.4,198,29.12,0.05067,0.45608
8/6/2018,WE8,25.2,155,18.13,0.02261,0.25403
8/6/2018,WE9,26.1,297,32.51,0.04635,0.3643
8/6/2018,WE12,25.6,289,17.48,0.02047,0.26308
8/6/2018,WE13,24.8,450,9.02,0.01266,0.15357
8/6/2018,WE16,25.2,185,16.51,0.01968,0.24322
8/13/2018,WE2,26,1403,19.43,0.02748,0.28377
8/13/2018,WE4,25.4,791,12.61,0.01771,0.19335
8/13/2018,WE6,26.3,867,33.58,0.04749,0.51582
8/13/2018,WE8,25.6,503,18.85,0.02582,0.32455
8/13/2018,WE9,26.3,904,33,0.05717,0.50394
8/13/2018,WE12,25.6,1214,19.56,0.02653,0.30217
8/13/2018,WE13,25.3,1209,9.17,0.01678,0.14433
8/13/2018,WE16,25.3,1154,10.89,0.0179,0.17562
8/20/2018,WE2,25.4,1141,20.15,0.03211,0.31087
8/20/2018,WE4,25.1,691,12.32,0.02747,0.18314
8/20/2018,WE6,25.5,488,47.68,0.05904,0.61332
8/20/2018,WE8,25.1,274,33.88,0.0423,0.4243
8/20/2018,WE9,26.2,525,45.53,0.16123,0.50718
8/20/2018,WE12,25,1049,15.08,0.02377,0.16346
8/20/2018,WE13,25.1,975,10.1,0.01965,0.23453
8/20/2018,WE16,25.1,727,23.86,0.02692,0.42398
8/27/2018,WE2,24.4,1043,25.61,0.03146,0.3036
8/27/2018,WE4,24.2,391,21.58,0.02747,0.21428
8/27/2018,WE6,24.6,423,56.01,0.08428,0.57304
8/27/2018,WE8,24,91,39,0.04344,0.4826
8/27/2018,WE9,24.2,29,17.35,0.24879,0.61437
8/27/2018,WE12,24.3,734,20.8,0.02955,0.24265
8/27/2018,WE13,24.2,388,16.05,0.02176,0.17394
8/27/2018,WE16,24.1,550,26.91,0.03163,0.33335
9/4/2018,WE2,27.4,1463,10.62,0.02314,0.16081
9/4/2018,WE4,25,495,24.96,0.02669,0.29749
9/4/2018,WE6,26.9,741,56.35,0.06987,0.65287
9/4/2018,WE8,25.4,181,40.99,0.04479,0.40619
9/4/2018,WE9,26.5,131,45.33,0.09006,0.47601
9/4/2018,WE12,25.6,1362,21.06,0.02718,0.19437
9/4/2018,WE13,25.2,981,13.17,0.01634,0.13591
9/4/2018,WE16,25.4,994,26,0.02699,0.27406
9/11/2018,WE2,21.8,169,16.96,0.09885,0.58301
9/11/2018,WE4,21.4,47,14.3,0.07106,0.45451
9/11/2018,WE6,20,171,17.29,0.1471,0.59819
9/11/2018,WE8,20.2,59,4.26,0.04105,0.2466
9/11/2018,WE9,19.4,145,23.4,0.10618,0.55408
9/11/2018,WE12,20.1,66,20.73,0.11199,0.50265
9/11/2018,WE13,20.4,14,21.12,0.15069,0.59212
9/11/2018,WE16,20.9,239,12.3,0.06099,0.39218
9/17/2018,WE2,22.5,433,18.85,0.04857,0.23384
9/17/2018,WE4,22.6,121,15.92,0.03558,0.1904
9/17/2018,WE6,23.2,360,35.59,0.07857,0.32367
9/17/2018,WE8,22.6,85,18.26,0.03359,0.19393
9/17/2018,WE9,23.6,227,29.12,0.10874,0.26962
9/17/2018,WE12,22.6,277,15.47,0.05652,0.19397
9/17/2018,WE13,22.7,154,9.97,0.04473,0.14172
9/17/2018,WE16,23,254,22.55,0.03957,0.21268
9/25/2018,WE2,20.8,7,12.27,0.055493,0.24955
9/25/2018,WE4,20.8,376,3.17,0.020725,0.10348
9/25/2018,WE6,20.3,46,16.58,0.0780475,0.30087
